Limit sugary drinks,"Sugary drinks like sodas- fruit juices- and sweetened teas are the primary source of added sugar in the American diet.",https://article.innovamarketinsights360.com/articleimgs/article_images/ea0380f2-32e3-4388-9cad-0b46947e6279articleimage.jpg
Eat nuts and seeds,"Some people avoid nuts because they are high in fat. However- nuts and seeds are incredibly nutritious. They are packed with protein- fiber- and a variety of vitamins and minerals. Nuts may help you lose weight and reduce the risk of developing type 2 diabetes and heart disease Additionally- one large observational study noted that a low intake of nuts and seeds was potentially linked to an increased risk of death from heart disease- stroke- or type 2 diabetes.",https://threebakers.com/wp-content/uploads/2018/10/seeds-vs-nuts-compressor.jpg
Avoid ultra-processed foods,"Ultra-processed foods are foods containing ingredients that are significantly modified from their original form. They often contain additives like added sugar- highly refined oil- salt- preservatives- artificial sweeteners- colors- and flavors as well. Examples include: snack cakes - fast food - frozen meals - canned foods - chips.",https://www.mashed.com/img/gallery/the-free-website-that-helps-consumers-avoid-ultra-processed-foods/l-intro-1657158611.jpg
Don’t fear coffee,"Despite some controversy over it- coffee is loaded with health benefits. It’s rich in antioxidants- and some studies have linked coffee intake to longevity and a reduced risk of type 2 diabetes- Parkinson’s and Alzheimer’s diseases- and numerous other illnesses. The most beneficial intake amount appears to be 3–4 cups per day- although pregnant people should limit or avoid it completely because it has been linked to low birth weight.",https://coffeeaffection.com/wp-content/uploads/2021/01/Dont-Like-Coffee_shutterstock_Antonio-Guillem.jpg
Eat fatty fish,"Fish is a great source of high-quality protein and healthy fat. This is particularly true of fatty fish- such as salmon- which is loaded with anti-inflammatory omega-3 fatty acids and various other nutrients. Studies show that people who eat fish regularly have a lower risk for several conditions- including heart disease- dementia- and inflammatory bowel disease.",https://www.foodnavigator.com/var/wrbm_gb_food_pharma/storage/images/publications/food-beverage-nutrition/foodnavigator.com/news/science/eating-fish-protects-brains-from-air-pollution-study-suggests/11662462-1-eng-GB/Eating-fish-protects-brains-from-air-pollution-study-suggests.jpg
Get enough sleep,"The importance of getting enough quality sleep cannot be overstated. Poor sleep can drive insulin resistance- can disrupt your appetite hormones- and reduce your physical and mental performance What’s more- poor sleep is one of the strongest individual risk factors for weight gain and obesity. People who do not get enough sleep tend to make food choices that are higher in fat- sugar- and calories- potentially leading to unwanted weight gain.",https://www.shorechildrensdentalcare.com/wp-content/uploads/2019/08/YxTG2Be.jpg
Feed your gut bacteria,"The bacteria in your gut- collectively called the gut microbiota- are incredibly important for overall health. A disruption in gut bacteria is linked to some chronic diseases- including obesity and a myriad of digestive problems. Good ways to improve gut health include eating probiotic foods like yogurt and sauerkraut- taking probiotic supplements — when indicated — and eating plenty of fiber. Notably- fiber serves as a probiotic- or a food source for your gut bacteria.",https://st2.depositphotos.com/1186033/8005/i/600/depositphotos_80054472-stock-photo-probiotic-prebiotic-foods-diet.jpg
Stay hydrated,"Hydration is an important and often overlooked marker of health. Staying hydrated helps ensure that your body is functioning optimally and that your blood volume is sufficient. Drinking water is the best way to stay hydrated- as it’s free of calories- sugar- and additives. Although there’s no set amount that everyone needs per day- aim to drink enough so that your thirst is adequately quenched.",https://www.parkview.com/media/Image/Dashboard_952_winter_hydration_1_20.jpg
Don’t eat heavily charred meats,"Meat can be a nutritious and healthy part of your diet. It’s very high in protein and a rich source of nutrients. However- problems occur when meat is charred or burnt. This charring can lead to the formation of harmful compounds that may increase your risk for certain cancers. When you cook meat- try not to char or burn it.",https://cdn.hswstatic.com/gif/charred-food-orig.jpg
Avoid bright lights before sleep,"Exposure to bright lights — which contain blue light wavelengths — in the evening may disrupt your production of the sleep hormone melatonin. Some ways to help reduce your blue light exposure are to wear blue light blocking glasses — especially if you use a computer or other digital screen for long periods — and to avoid digital screens for 30 minutes to an hour before going to bed.",https://pbs.twimg.com/media/DlEX4EtXoAElm6C.jpg
Take vitamin D if you’re deficient,"Most people do not get enough vitamin D. While these widespread vitamin D inadequacies are not imminently harmful- maintaining adequate vitamin D levels can help to optimize your health by improving bone strength- reducing symptoms of depression- strengthening your immune system- and lowering your risk for cancer. If you do not spend a lot of time in the sunlight- your vitamin D levels may be low.",https://assets-jpcust.jwpsrv.com/thumbnails/j28nwqzi-720.jpg
